gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
PSMA1,essential,yes,no,no,no,yes,yes,yes,no,no,-9.6510992010761,-8.75622457720689,-2.23052178558204,-1.08119416307185,9.99900009999e-05,0.0006999300069993,0.0042995700429957,0.0060993900609939,0,0,-7.50587614052638,-7.59104400916202,-7.67118053999727,-6.67619206737517,-6.26067445962197
PSMA4,essential,yes,no,no,no,yes,yes,yes,no,no,-8.09728635181096,-10.0601898708828,-1.8825283960427,-1.31134672969099,0.0001999800019998,9.99900009999e-05,0.0145985401459854,0.0006999300069993,0.00990099009900991,0,-9.96907450224573,-10.1963400477251,-9.97323337062179,-9.03616992174764,-8.70039487325608
PSMA5,essential,yes,no,no,no,yes,no,yes,no,no,-9.00499179934565,-7.65336656105173,-2.0697444588377,-0.517383529394837,9.99900009999e-05,0.0141985801419858,0.0091990800919908,0.0276972302769723,0,0.0198019801980198,-6.73130143719616,-6.78821689770996,-6.92738496585326,-6.12584936948607,-5.73275657660169
PSMA7,essential,yes,no,no,no,yes,no,yes,no,no,-8.68560431206448,-7.8791615788537,-2.04569202076171,-0.760670627938406,9.99900009999e-05,0.0060993900609939,0.008999100089991,0.0146985301469853,0,0.0198019801980198,-6.45180494933082,-6.73747494393303,-6.95322388449473,-6.2587617197479,-5.73787221865634
PSMB10,essential,yes,no,no,no,no,no,no,no,no,-3.27746580501912,-2.61806628245584,-0.0482617845968432,0.135655577887282,0.153784621537846,0.661533846615338,0.862113788621138,0.615938406159384,0.287128712871287,0.881188118811881,-2.26736919553281,-2.56979794794304,-2.65168207008428,-2.84718237320987,-2.9062268164515
PSMB2,essential,yes,no,no,no,yes,yes,yes,no,no,-7.7181579397384,-9.02229200691388,-1.96989315537005,-1.2509692258712,0.0005999400059994,0.0005999400059994,0.0113988601139886,0.0018998100189981,0,0,-7.28145597240022,-7.38852895647943,-6.83575566074084,-6.44817095171326,-6.17974296239255
PSMB3,essential,yes,no,no,no,yes,yes,yes,no,no,-9.52218201812509,-7.64650547067179,-2.3423087804829,-0.987092516879519,9.99900009999e-05,0.0051994800519948,0.0021997800219978,0.0098990100989901,0,0.00990099009900991,-7.06897986595055,-6.98595577268882,-6.715650479617,-6.33865294193446,-6.1671217674027
PSMB4,essential,yes,no,no,no,yes,no,yes,no,no,-8.31617291915051,-6.90882039417449,-2.16834102373812,-0.839619592405276,0.0001999800019998,0.0113988601139886,0.0046995300469953,0.0112988701129887,0.00990099009900991,0,-6.66658601820956,-6.6959752747581,-6.5069745540622,-6.42420961611373,-6.12156230284584
PSMB6,essential,yes,no,no,no,yes,yes,no,no,no,-6.47130396845962,-8.94950343358355,-1.49182075295213,-1.25810905617923,0.0110988901109889,0.000999900009999,0.0312968703129687,0.0040995900409959,0.0198019801980198,0.00990099009900991,-9.59307781584817,-9.63108656868017,-9.16333567901965,-8.99515676902869,-8.72014845978397
PSMB8,essential,yes,no,no,no,no,no,no,no,no,-2.61395802406698,-3.29740181473813,0.0079924694213498,-0.051890546365392,0.223177682231777,0.167583241675832,0.952104789521048,0.620737926207379,0.544554455445545,0.277227722772277,-2.70933975700031,-2.81632108675077,-3.37303121478107,-3.58229923558204,-3.53822571959646
PSMC3,essential,yes,no,no,no,yes,yes,yes,no,no,-6.98169471507155,-8.87816462580461,-1.58966470538826,-1.21987615671741,0.0054994500549945,0.0004999500049995,0.0262973702629737,0.0023997600239976,0.0495049504950496,0.00990099009900991,-9.60650351265715,-9.4814710440183,-9.33333675142556,-8.91045275841583,-8.58200375001635
PSMC5,essential,yes,no,no,no,no,no,yes,no,no,-7.22392281507817,-10.487242112933,-1.35206092743266,-1.28253520110636,0.0081991800819918,9.99900009999e-05,0.0345965403459654,0.0012998700129987,0.00990099009900991,0,-11.5891456709812,-11.5299906753595,-11.8451323014299,-11.2308242755283,-10.5803276417557
PSMD1,essential,yes,no,no,no,yes,yes,yes,no,no,-6.98063195297117,-10.5744173035031,-1.42967774381025,-1.39614973393512,0.0084991500849915,9.99900009999e-05,0.0283971602839716,0.0003999600039996,0,0,-7.16515483720828,-7.25975544667378,-7.3150110236058,-6.79313580838012,-6.40535988038015
PSMD12,essential,yes,no,no,no,yes,yes,yes,no,no,-7.02902859137183,-8.21390956277635,-1.54310681812347,-1.03747611539391,0.0072992700729927,0.0020997900209979,0.0304969503049695,0.0050994900509949,0.00990099009900991,0.00990099009900991,-10.124829031655,-9.86230113326991,-9.84076678619042,-9.29933873772109,-9.05302106409293
PSMD14,essential,yes,no,no,no,yes,no,yes,no,no,-7.1927425285198,-7.27053079107433,-1.64907153285602,-0.735977769442133,0.0040995900409959,0.0097990200979902,0.0215978402159784,0.0176982301769823,0.0198019801980198,0.0198019801980198,-8.19452966590834,-8.42081934189932,-8.23958318603531,-7.61846907676718,-7.20287787837507
PSMD3,essential,yes,no,no,no,yes,no,yes,no,no,-6.69277581329064,-6.48426730599685,-1.64687248702832,-0.638628339757619,0.0073992600739926,0.0217978202179782,0.0222977702229777,0.0222977702229777,0,0.0297029702970297,-6.72591140020776,-6.61783082163389,-6.38140710052997,-6.36081763592734,-5.99773860325552
PSMD8,essential,yes,no,no,no,no,no,no,no,no,-6.56349337285951,-6.18895620638058,-1.40747040035939,-0.439562368499102,0.0133986601339866,0.0281971802819718,0.0366963303669633,0.0391960803919608,0.0198019801980198,0.0594059405940595,-6.14234546827382,-6.09139788147436,-6.1295704205865,-5.78818156781803,-5.76859303325631
PSME1,essential,yes,no,no,no,no,no,no,no,no,-4.72103739866944,-2.66894835031579,-0.442579122436026,0.123328316035785,0.0871912808719128,0.680731926807319,0.126287371262874,0.631336866313369,0.0396039603960396,0.851485148514852,-2.27156165957906,-2.25057820426577,-2.74068613047318,-2.89264119909343,-3.09420083315317
PSME3,essential,yes,no,no,no,no,no,no,no,no,-5.01798937005686,-5.0588452506531,-0.275273460020799,-0.148300270433681,0.068993100689931,0.0514948505149485,0.194280571942806,0.106789321067893,0.0891089108910891,0.148514851485149,-6.01119971139178,-5.79040390199492,-5.56432668141422,-4.95442353258806,-4.75442674958304
RPL10,essential,no,yes,no,no,no,yes,no,no,no,-7.88856828645817,-8.61905004825546,-0.827741639253354,-0.823872107203763,0.0198980101989801,0.0043995600439956,0.0611938806119388,0.0170982901709829,0.0792079207920792,0.00990099009900991,-5.94743332707689,-5.92677423182009,-5.99496507289731,-5.95205313350689,-5.63382835888326
RPL10A,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2490653791019,-9.62487179962497,-2.0918388602965,-1.04184816061555,9.99900009999e-05,0.000999900009999,0.0037996200379962,0.0113988601139886,0,0,-6.6242779029467,-6.24648019387581,-6.27046570511625,-6.09191478300823,-5.70195754815156
RPL12,essential,no,yes,no,no,yes,yes,yes,no,no,-10.589368839669,-9.27613267291759,-2.09265569093706,-0.849427935660198,9.99900009999e-05,0.0027997200279972,0.0041995800419958,0.0168983101689831,0,0,-6.29793317336427,-6.19718119589822,-6.39083573913,-6.1403519308527,-5.62391916202166
RPL13A,essential,no,yes,no,no,yes,yes,no,no,no,-10.4661298843397,,-1.89728249631474,,9.99900009999e-05,,0.0082991700829917,,0,,,,,,
RPL14,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2600807663848,-13.5740891750612,-1.91412545778319,-1.50757408357591,9.99900009999e-05,9.99900009999e-05,0.0066993300669933,0.0004999500049995,0,0,-7.75495288898341,-8.30038507517945,-8.35192730961306,-8.09246431756055,-7.51533845584169
RPL15,essential,no,yes,no,no,yes,no,no,no,no,-14.2446857005397,-9.078308076376,-2.59870691303936,-0.86018870403102,9.99900009999e-05,0.0023997600239976,9.99900009999e-05,0.0171982801719828,0,0,-6.17435483985256,-6.52542996027201,-6.23812858965955,-6.18283172807601,-5.64106633490565
RPL18,essential,no,yes,no,no,yes,yes,yes,no,no,-9.65212274261889,-10.0444445752438,-1.88145892794493,-1.13598834504348,9.99900009999e-05,9.99900009999e-05,0.0073992600739926,0.0054994500549945,0,0,-6.6306292041633,-6.51497852679413,-6.25148061195035,-5.89742412454172,-5.60100717511611
RPL18A,essential,no,yes,no,no,yes,yes,yes,no,no,-10.7817627391166,-9.55907028962901,-2.13371025737509,-0.927714329175497,9.99900009999e-05,0.0013998600139986,0.0043995600439956,0.0126987301269873,0,0.00990099009900991,-6.666458671132,-6.59851884595462,-6.40208041593349,-6.08085760956947,-5.79699563485458
RPL19,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2923621848552,-9.62177062945501,-2.01937589635363,-0.912129752477665,9.99900009999e-05,0.0017998200179982,0.0053994600539946,0.0147985201479852,0,0.00990099009900991,-6.47925592893004,-7.10753223216818,-6.38983000041894,-6.17647217103629,-5.74101630439185
RPL21,essential,no,yes,no,no,yes,no,no,no,no,-10.0625497909273,,-2.20293717852721,,9.99900009999e-05,,0.001999800019998,,0,,,,,,
RPL22,essential,no,yes,no,no,yes,no,no,no,no,-6.60542720580569,-4.66526027288121,-0.570165283394508,0.0318471346095035,0.0317968203179682,0.0662933706629337,0.098990100989901,0.731526847315269,0.0891089108910891,0.287128712871287,-3.6474496643081,-3.78108156819239,-4.06933358325651,-4.03011587762912,-4.16428680646012
RPL23,essential,no,yes,no,no,yes,no,yes,no,no,-12.3746136278759,-10.0038154633551,-2.3559901080803,-1.07094463934855,9.99900009999e-05,0.0002999700029997,0.0025997400259974,0.0082991700829917,0,0,-6.16150003529065,-6.15821605853544,-6.29658250334865,-5.94437574565607,-5.64012764266758
RPL23A,essential,no,yes,no,no,yes,yes,no,no,no,-9.57559164856796,-9.65407189339062,-1.75540456402737,-0.993531043062091,9.99900009999e-05,0.0002999700029997,0.0143985601439856,0.0094990500949905,0.0198019801980198,0.0198019801980198,-7.99756087172896,-7.71406112344747,-7.69621419132619,-7.58235435975225,-6.89915719805049
RPL24,essential,no,yes,no,no,no,yes,yes,no,no,-8.94524536924704,-9.8364195567778,-1.73284258239888,-1.22311879182251,0.0001999800019998,0.0001999800019998,0.0123987601239876,0.0045995400459954,0.0198019801980198,0.00990099009900991,-6.15616659847255,-6.11821381050151,-5.9573263647447,-6.00569882457894,-5.84712320757381
RPL26,essential,no,yes,no,no,yes,yes,no,no,no,-9.64244113833299,-8.77352535071177,-1.73832316965293,-0.624320821647959,9.99900009999e-05,0.0077992200779922,0.0178982101789821,0.0288971102889711,0.0198019801980198,0.0495049504950496,-6.54780743493355,-6.46583776154574,-6.26384204645974,-5.91933903670718,-5.71676796539173
RPL27,essential,no,yes,no,no,yes,yes,yes,no,no,-11.3067729978745,-12.0627284248938,-2.13977269385238,-1.31780494178363,9.99900009999e-05,9.99900009999e-05,0.002999700029997,0.0022997700229977,0,0,-6.42296957667583,-6.78170774103974,-6.83482410484936,-6.39622341298952,-5.94620109597656
RPL27A,essential,no,yes,no,no,yes,no,yes,no,no,-10.3623113890337,-9.13259958375473,-1.97372363957511,-0.797336311912941,9.99900009999e-05,0.0028997100289971,0.0070992900709929,0.0168983101689831,0,0.00990099009900991,-6.01238888691139,-6.16021126601637,-6.24989733957862,-6.00632931642785,-5.46196915447163
RPL3,essential,no,yes,no,no,yes,yes,yes,no,no,-11.9488650076342,-10.7675440780871,-1.97169798861115,-1.02442033415147,9.99900009999e-05,0.0003999600039996,0.0065993400659934,0.0108989101089891,0,0,-6.27691677370404,-6.70973126526403,-6.79339127948459,-6.37773743302079,-5.91305674111107
RPL30,essential,no,yes,no,no,yes,yes,yes,no,no,-8.70666600980299,-8.26869166880191,-1.43205012051391,-0.429128778773584,0.0010998900109989,0.0160983901609839,0.0240975902409759,0.0482951704829517,0.00990099009900991,0.0594059405940595,-6.0114164880704,-6.50787694475202,-5.92279540578077,-5.64360651957214,-5.34041715996508
RPL31,essential,no,yes,no,no,yes,yes,no,no,no,-11.3247915033772,-9.8528444364452,-2.36004680136623,-1.14759751817403,9.99900009999e-05,0.0002999700029997,0.0015998400159984,0.0052994700529947,0,0,-7.37835791857263,-7.4580331210262,-7.57871241658086,-7.39517634433457,-7.18793824417157
RPL32,essential,no,yes,no,no,yes,yes,no,no,no,-9.38722777731804,-8.85394691802234,-2.07000419894584,-1.02506384896039,9.99900009999e-05,0.0006999300069993,0.0038996100389961,0.0090990900909909,0,0.00990099009900991,-7.06802279904938,-7.2159272227046,-7.43112262090296,-7.523246958679,-7.10566310821167
RPL34,essential,no,yes,no,no,yes,yes,no,no,no,,-9.46629381511494,,-1.03880309975191,,0.0008999100089991,,0.0090990900909909,,0.0198019801980198,,,,,
RPL35,essential,no,yes,no,no,yes,yes,yes,no,no,-9.22525028999088,-10.1894759214145,-1.66809283371551,-1.17546085443904,9.99900009999e-05,9.99900009999e-05,0.0168983101689831,0.0047995200479952,0,0,-8.08200485321335,-8.07588347996373,-8.16700223947196,-7.94679130902647,-7.36175081524524
RPL36,essential,no,yes,no,no,yes,yes,yes,no,no,-8.67861670599309,-9.10169878451829,-1.86420062298704,-1.06766156517522,0.0002999700029997,0.0010998900109989,0.0095990400959904,0.0074992500749925,0,0.00990099009900991,-6.28072643929507,-6.02399860239589,-5.98555091034765,-6.04272887398908,-5.75876308642833
RPL36A,essential,no,yes,no,no,yes,no,no,no,no,-7.0042736407351,-4.42301423388858,-0.984025212178507,0.0135460312048643,0.0170982901709829,0.0686931306869313,0.0498950104989501,0.717628237176282,0.0396039603960396,0.227722772277228,-3.35545076686344,-3.50600225615582,-4.05223821020964,-4.20499557401324,-4.15260518995848
RPL37,essential,no,yes,no,no,no,yes,no,no,no,-8.25009402552493,-8.58084100688227,-1.4162271964362,-0.887461886802077,0.0033996600339966,0.0038996100389961,0.0255974402559744,0.0155984401559844,0.00990099009900991,0.0198019801980198,-6.41784479967644,-6.74336545564134,-7.38492972217166,-7.39062700467142,-6.89313121749206
RPL39,essential,no,yes,no,no,no,no,no,no,no,,-6.9761225637133,,-0.334513115765082,,0.0282971702829717,,0.0673932606739326,,0.0396039603960396,-4.75754074142636,-4.93625642980264,-5.46309283103578,-5.60783940011527,-5.35572680966784
RPL4,essential,no,yes,no,no,yes,yes,yes,no,no,-15.4011175600966,-12.8327785931226,-2.45579727277994,-1.20708201645546,9.99900009999e-05,9.99900009999e-05,0.0013998600139986,0.0041995800419958,0,0,-7.01565772575241,-7.30615599513214,-7.25411206999291,-6.30405499523539,-5.87829935109516
