gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
PSMA1,essential,yes,no,no,no,yes,yes,yes,no,no,-9.6510992010761,-8.75622457720689,-2.23052178558204,-1.08119416307185,9.99900009999e-05,0.0006999300069993,0.0042995700429957,0.0060993900609939,0,0,-9.7407927732027,-9.52537215548681,-9.22998982474406,-8.41311906604863,-7.86709974012533
PSMA4,essential,yes,no,no,no,yes,yes,yes,no,no,-8.09728635181096,-10.0601898708828,-1.8825283960427,-1.31134672969099,0.0001999800019998,9.99900009999e-05,0.0145985401459854,0.0006999300069993,0.00990099009900991,0,-8.90488412031998,-8.51717305266262,-7.7267216100992,-6.95717415502282,-6.47035205033685
PSMA5,essential,yes,no,no,no,yes,no,yes,no,no,-9.00499179934565,-7.65336656105173,-2.0697444588377,-0.517383529394837,9.99900009999e-05,0.0141985801419858,0.0091990800919908,0.0276972302769723,0,0.0198019801980198,-9.24139496772519,-8.95047956571342,-8.80637622505522,-8.18747238451631,-7.55912948722101
PSMA7,essential,yes,no,no,no,yes,no,yes,no,no,-8.68560431206448,-7.8791615788537,-2.04569202076171,-0.760670627938406,9.99900009999e-05,0.0060993900609939,0.008999100089991,0.0146985301469853,0,0.0198019801980198,-8.41076652379718,-8.62347016106476,-8.67941312451349,-8.11485719267157,-7.47456364340835
PSMB10,essential,yes,no,no,no,no,no,no,no,no,-3.27746580501912,-2.61806628245584,-0.0482617845968432,0.135655577887282,0.153784621537846,0.661533846615338,0.862113788621138,0.615938406159384,0.287128712871287,0.881188118811881,-2.91437907917112,-3.11855423881898,-3.21495187817907,-3.35283415570626,-3.27492158954563
PSMB2,essential,yes,no,no,no,yes,yes,yes,no,no,-7.7181579397384,-9.02229200691388,-1.96989315537005,-1.2509692258712,0.0005999400059994,0.0005999400059994,0.0113988601139886,0.0018998100189981,0,0,-8.70240490226811,-8.41340526699906,-7.52694293491274,-7.16259634222871,-6.88229303841857
PSMB3,essential,yes,no,no,no,yes,yes,yes,no,no,-9.52218201812509,-7.64650547067179,-2.3423087804829,-0.987092516879519,9.99900009999e-05,0.0051994800519948,0.0021997800219978,0.0098990100989901,0,0.00990099009900991,-10.7446618509389,-10.2026362898738,-9.21176608578761,-8.85885807329474,-8.56545854179032
PSMB4,essential,yes,no,no,no,yes,no,yes,no,no,-8.31617291915051,-6.90882039417449,-2.16834102373812,-0.839619592405276,0.0001999800019998,0.0113988601139886,0.0046995300469953,0.0112988701129887,0.00990099009900991,0,-9.1489285300059,-9.16353812873805,-8.39588202021502,-8.24439553191593,-7.9694475314653
PSMB6,essential,yes,no,no,no,yes,yes,no,no,no,-6.47130396845962,-8.94950343358355,-1.49182075295213,-1.25810905617923,0.0110988901109889,0.000999900009999,0.0312968703129687,0.0040995900409959,0.0198019801980198,0.00990099009900991,-6.55733779001253,-6.33684762660334,-5.44180608802042,-5.15092931650478,-4.93295283329636
PSMB8,essential,yes,no,no,no,no,no,no,no,no,-2.61395802406698,-3.29740181473813,0.0079924694213498,-0.051890546365392,0.223177682231777,0.167583241675832,0.952104789521048,0.620737926207379,0.544554455445545,0.277227722772277,-2.03036331807,-2.04799138953719,-2.57044836717702,-2.82336072314463,-2.72591742693819
PSMC3,essential,yes,no,no,no,yes,yes,yes,no,no,-6.98169471507155,-8.87816462580461,-1.58966470538826,-1.21987615671741,0.0054994500549945,0.0004999500049995,0.0262973702629737,0.0023997600239976,0.0495049504950496,0.00990099009900991,-7.05840736682391,-6.82849525498273,-6.77726207332029,-6.30717307736077,-5.90141043642446
PSMC5,essential,yes,no,no,no,no,no,yes,no,no,-7.22392281507817,-10.487242112933,-1.35206092743266,-1.28253520110636,0.0081991800819918,9.99900009999e-05,0.0345965403459654,0.0012998700129987,0.00990099009900991,0,-7.19328993782911,-7.13294035472261,-7.3727344384221,-6.95701345495454,-6.19163445308739
PSMD1,essential,yes,no,no,no,yes,yes,yes,no,no,-6.98063195297117,-10.5744173035031,-1.42967774381025,-1.39614973393512,0.0084991500849915,9.99900009999e-05,0.0283971602839716,0.0003999600039996,0,0,-6.74753205888018,-6.84921897663894,-7.05123619473371,-6.50185151134992,-5.94471132448244
PSMD12,essential,yes,no,no,no,yes,yes,yes,no,no,-7.02902859137183,-8.21390956277635,-1.54310681812347,-1.03747611539391,0.0072992700729927,0.0020997900209979,0.0304969503049695,0.0050994900509949,0.00990099009900991,0.00990099009900991,-7.77620799556857,-7.50615442823165,-7.4759441586517,-6.88837123509879,-6.55341245124178
PSMD14,essential,yes,no,no,no,yes,no,yes,no,no,-7.1927425285198,-7.27053079107433,-1.64907153285602,-0.735977769442133,0.0040995900409959,0.0097990200979902,0.0215978402159784,0.0176982301769823,0.0198019801980198,0.0198019801980198,-7.90883753934195,-7.68188161141111,-6.87222016760772,-6.34829406130536,-5.8811104529949
PSMD3,essential,yes,no,no,no,yes,no,yes,no,no,-6.69277581329064,-6.48426730599685,-1.64687248702832,-0.638628339757619,0.0073992600739926,0.0217978202179782,0.0222977702229777,0.0222977702229777,0,0.0297029702970297,-6.91204286829801,-6.86726939713805,-6.61427339443753,-6.54816503847993,-6.20869243599197
PSMD8,essential,yes,no,no,no,no,no,no,no,no,-6.56349337285951,-6.18895620638058,-1.40747040035939,-0.439562368499102,0.0133986601339866,0.0281971802819718,0.0366963303669633,0.0391960803919608,0.0198019801980198,0.0594059405940595,-7.29825212645518,-7.09130518247822,-6.85159377699712,-6.47383062510776,-6.26183794907518
PSME1,essential,yes,no,no,no,no,no,no,no,no,-4.72103739866944,-2.66894835031579,-0.442579122436026,0.123328316035785,0.0871912808719128,0.680731926807319,0.126287371262874,0.631336866313369,0.0396039603960396,0.851485148514852,-4.43465519277961,-4.31450401367301,-4.78143401510507,-4.86747782764785,-4.71730833319741
PSME3,essential,yes,no,no,no,no,no,no,no,no,-5.01798937005686,-5.0588452506531,-0.275273460020799,-0.148300270433681,0.068993100689931,0.0514948505149485,0.194280571942806,0.106789321067893,0.0891089108910891,0.148514851485149,-5.50232987325838,-5.3365014197726,-4.86042509662024,-4.51008875491585,-4.27609806291243
RPL10,essential,no,yes,no,no,no,yes,no,no,no,-7.88856828645817,-8.61905004825546,-0.827741639253354,-0.823872107203763,0.0198980101989801,0.0043995600439956,0.0611938806119388,0.0170982901709829,0.0792079207920792,0.00990099009900991,-7.21091446082994,-7.70518242403367,-7.95898161908196,-7.5060267339307,-7.12810289517685
RPL10A,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2490653791019,-9.62487179962497,-2.0918388602965,-1.04184816061555,9.99900009999e-05,0.000999900009999,0.0037996200379962,0.0113988601139886,0,0,-10.7322393309403,-10.416730005668,-10.1601696687789,-10.1647184138815,-9.51262651222892
RPL12,essential,no,yes,no,no,yes,yes,yes,no,no,-10.589368839669,-9.27613267291759,-2.09265569093706,-0.849427935660198,9.99900009999e-05,0.0027997200279972,0.0041995800419958,0.0168983101689831,0,0,-11.1193553003803,-10.9888738934997,-10.817636254319,-10.372274441854,-9.55958907917932
RPL13A,essential,no,yes,no,no,yes,yes,no,no,no,-10.4661298843397,,-1.89728249631474,,9.99900009999e-05,,0.0082991700829917,,0,,-8.7237583508184,-9.0613128831126,-10.4496663885206,-9.40447414268464,-8.62920458422931
RPL14,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2600807663848,-13.5740891750612,-1.91412545778319,-1.50757408357591,9.99900009999e-05,9.99900009999e-05,0.0066993300669933,0.0004999500049995,0,0,-8.82738186798084,-9.42035036714135,-10.3688256280534,-9.63252644084312,-8.64064817981478
RPL15,essential,no,yes,no,no,yes,no,no,no,no,-14.2446857005397,-9.078308076376,-2.59870691303936,-0.86018870403102,9.99900009999e-05,0.0023997600239976,9.99900009999e-05,0.0171982801719828,0,0,-14.6158628618468,-14.8385781345286,-14.6289957935892,-14.5167433912586,-13.63883217652
RPL18,essential,no,yes,no,no,yes,yes,yes,no,no,-9.65212274261889,-10.0444445752438,-1.88145892794493,-1.13598834504348,9.99900009999e-05,9.99900009999e-05,0.0073992600739926,0.0054994500549945,0,0,-9.57804483315672,-9.46639091941411,-9.13043925764678,-8.59393799295805,-7.90597994843209
RPL18A,essential,no,yes,no,no,yes,yes,yes,no,no,-10.7817627391166,-9.55907028962901,-2.13371025737509,-0.927714329175497,9.99900009999e-05,0.0013998600139986,0.0043995600439956,0.0126987301269873,0,0.00990099009900991,-10.8716669670621,-10.5235931512104,-10.8792923357421,-10.463740169193,-9.82104079605497
RPL19,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2923621848552,-9.62177062945501,-2.01937589635363,-0.912129752477665,9.99900009999e-05,0.0017998200179982,0.0053994600539946,0.0147985201479852,0,0.00990099009900991,-9.90408294080042,-10.3580503937478,-10.627845008265,-9.95103319938568,-9.40004474591593
RPL21,essential,no,yes,no,no,yes,no,no,no,no,-10.0625497909273,,-2.20293717852721,,9.99900009999e-05,,0.001999800019998,,0,,-9.06740304981775,-9.06312120186938,-9.24527851725915,-9.52478612341458,-8.93926786130529
RPL22,essential,no,yes,no,no,yes,no,no,no,no,-6.60542720580569,-4.66526027288121,-0.570165283394508,0.0318471346095035,0.0317968203179682,0.0662933706629337,0.098990100989901,0.731526847315269,0.0891089108910891,0.287128712871287,-6.22244877161238,-6.42269118844215,-6.72528054765988,-6.69702824037965,-6.58320281168673
RPL23,essential,no,yes,no,no,yes,no,yes,no,no,-12.3746136278759,-10.0038154633551,-2.3559901080803,-1.07094463934855,9.99900009999e-05,0.0002999700029997,0.0025997400259974,0.0082991700829917,0,0,-11.1083054641937,-11.2504402502162,-11.90859282452,-11.2323949022611,-10.786754303222
RPL23A,essential,no,yes,no,no,yes,yes,no,no,no,-9.57559164856796,-9.65407189339062,-1.75540456402737,-0.993531043062091,9.99900009999e-05,0.0002999700029997,0.0143985601439856,0.0094990500949905,0.0198019801980198,0.0198019801980198,-9.69042241381375,-9.28836780338037,-9.71000508940404,-9.77343794076526,-8.92755355319839
RPL24,essential,no,yes,no,no,no,yes,yes,no,no,-8.94524536924704,-9.8364195567778,-1.73284258239888,-1.22311879182251,0.0001999800019998,0.0001999800019998,0.0123987601239876,0.0045995400459954,0.0198019801980198,0.00990099009900991,-8.91927285777208,-8.91162433116621,-8.83221706225905,-8.60354353841169,-8.11662333698206
RPL26,essential,no,yes,no,no,yes,yes,no,no,no,-9.64244113833299,-8.77352535071177,-1.73832316965293,-0.624320821647959,9.99900009999e-05,0.0077992200779922,0.0178982101789821,0.0288971102889711,0.0198019801980198,0.0495049504950496,-9.92054732600734,-9.88011371276125,-9.47796009725765,-8.79389156156643,-8.32665447520378
RPL27,essential,no,yes,no,no,yes,yes,yes,no,no,-11.3067729978745,-12.0627284248938,-2.13977269385238,-1.31780494178363,9.99900009999e-05,9.99900009999e-05,0.002999700029997,0.0022997700229977,0,0,-10.638520390298,-10.7702638847741,-11.3185146403294,-10.3590292151039,-9.74217847463861
RPL27A,essential,no,yes,no,no,yes,no,yes,no,no,-10.3623113890337,-9.13259958375473,-1.97372363957511,-0.797336311912941,9.99900009999e-05,0.0028997100289971,0.0070992900709929,0.0168983101689831,0,0.00990099009900991,-9.46652899248218,-9.4260953792361,-9.84312966518781,-9.57057185473968,-8.33520518997835
RPL3,essential,no,yes,no,no,yes,yes,yes,no,no,-11.9488650076342,-10.7675440780871,-1.97169798861115,-1.02442033415147,9.99900009999e-05,0.0003999600039996,0.0065993400659934,0.0108989101089891,0,0,-10.2103638709878,-10.5803093806523,-11.5929840455337,-10.2463272925878,-9.38889911970101
RPL30,essential,no,yes,no,no,yes,yes,yes,no,no,-8.70666600980299,-8.26869166880191,-1.43205012051391,-0.429128778773584,0.0010998900109989,0.0160983901609839,0.0240975902409759,0.0482951704829517,0.00990099009900991,0.0594059405940595,-9.11470669732489,-9.50762216626833,-9.30809634928207,-8.86169968022374,-8.13613615120565
RPL31,essential,no,yes,no,no,yes,yes,no,no,no,-11.3247915033772,-9.8528444364452,-2.36004680136623,-1.14759751817403,9.99900009999e-05,0.0002999700029997,0.0015998400159984,0.0052994700529947,0,0,-12.0021233402158,-12.0239181983681,-11.9821000156403,-11.7993907974941,-11.6756011665221
RPL32,essential,no,yes,no,no,yes,yes,no,no,no,-9.38722777731804,-8.85394691802234,-2.07000419894584,-1.02506384896039,9.99900009999e-05,0.0006999300069993,0.0038996100389961,0.0090990900909909,0,0.00990099009900991,-8.72088627118314,-9.13653327977094,-9.09406665867606,-9.5781764541249,-8.73702730680802
RPL34,essential,no,yes,no,no,yes,yes,no,no,no,,-9.46629381511494,,-1.03880309975191,,0.0008999100089991,,0.0090990900909909,,0.0198019801980198,,,,,
