gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
PSMA1,essential,yes,no,no,no,yes,yes,yes,no,no,-9.6510992010761,-8.75622457720689,-2.23052178558204,-1.08119416307185,9.99900009999e-05,0.0006999300069993,0.0042995700429957,0.0060993900609939,0,0,-8.81161349751569,-8.72764226024439,-8.97668490922278,-8.44507229291754,-7.91293563438004
PSMA4,essential,yes,no,no,no,yes,yes,yes,no,no,-8.09728635181096,-10.0601898708828,-1.8825283960427,-1.31134672969099,0.0001999800019998,9.99900009999e-05,0.0145985401459854,0.0006999300069993,0.00990099009900991,0,-7.72702268952238,-7.59348124443346,-7.32145983787902,-6.9289129044167,-6.33971274027876
PSMA5,essential,yes,no,no,no,yes,no,yes,no,no,-9.00499179934565,-7.65336656105173,-2.0697444588377,-0.517383529394837,9.99900009999e-05,0.0141985801419858,0.0091990800919908,0.0276972302769723,0,0.0198019801980198,-8.1715331262749,-8.12537428447086,-8.40128094127409,-8.05466354543732,-7.48242666371748
PSMA7,essential,yes,no,no,no,yes,no,yes,no,no,-8.68560431206448,-7.8791615788537,-2.04569202076171,-0.760670627938406,9.99900009999e-05,0.0060993900609939,0.008999100089991,0.0146985301469853,0,0.0198019801980198,-7.90360235112031,-8.31182807854972,-8.2072154611032,-7.97061431332242,-7.47801489185582
PSMB10,essential,yes,no,no,no,no,no,no,no,no,-3.27746580501912,-2.61806628245584,-0.0482617845968432,0.135655577887282,0.153784621537846,0.661533846615338,0.862113788621138,0.615938406159384,0.287128712871287,0.881188118811881,-3.31000592508554,-3.50817717774856,-3.48637711332989,-3.52157124311568,-3.39445831863466
PSMB2,essential,yes,no,no,no,yes,yes,yes,no,no,-7.7181579397384,-9.02229200691388,-1.96989315537005,-1.2509692258712,0.0005999400059994,0.0005999400059994,0.0113988601139886,0.0018998100189981,0,0,-7.65892253728303,-7.79141448613494,-7.44646545654174,-7.13517580648622,-6.80807242630085
PSMB3,essential,yes,no,no,no,yes,yes,yes,no,no,-9.52218201812509,-7.64650547067179,-2.3423087804829,-0.987092516879519,9.99900009999e-05,0.0051994800519948,0.0021997800219978,0.0098990100989901,0,0.00990099009900991,-9.68263223566641,-9.53881552246797,-9.22757107197252,-8.83158662068319,-8.52144076495664
PSMB4,essential,yes,no,no,no,yes,no,yes,no,no,-8.31617291915051,-6.90882039417449,-2.16834102373812,-0.839619592405276,0.0001999800019998,0.0113988601139886,0.0046995300469953,0.0112988701129887,0.00990099009900991,0,-7.87507872337934,-8.17406710353536,-8.49120015909747,-8.3200398603748,-8.00220349972841
PSMB6,essential,yes,no,no,no,yes,yes,no,no,no,-6.47130396845962,-8.94950343358355,-1.49182075295213,-1.25810905617923,0.0110988901109889,0.000999900009999,0.0312968703129687,0.0040995900409959,0.0198019801980198,0.00990099009900991,-5.17022447063077,-5.33967018670666,-5.45589370524865,-5.40637837330134,-5.20886764008681
PSMB8,essential,yes,no,no,no,no,no,no,no,no,-2.61395802406698,-3.29740181473813,0.0079924694213498,-0.051890546365392,0.223177682231777,0.167583241675832,0.952104789521048,0.620737926207379,0.544554455445545,0.277227722772277,-2.79938457664025,-2.52969339137868,-2.88830726976042,-3.015623197003,-2.92847220463319
PSMC3,essential,yes,no,no,no,yes,yes,yes,no,no,-6.98169471507155,-8.87816462580461,-1.58966470538826,-1.21987615671741,0.0054994500549945,0.0004999500049995,0.0262973702629737,0.0023997600239976,0.0495049504950496,0.00990099009900991,-6.41099752424905,-6.18100611253535,-6.61378214688824,-6.30802451148973,-5.84562562788429
PSMC5,essential,yes,no,no,no,no,no,yes,no,no,-7.22392281507817,-10.487242112933,-1.35206092743266,-1.28253520110636,0.0081991800819918,9.99900009999e-05,0.0345965403459654,0.0012998700129987,0.00990099009900991,0,-7.52750594647486,-7.50773245921807,-7.83935178244304,-7.35952807304815,-6.31461955337793
PSMD1,essential,yes,no,no,no,yes,yes,yes,no,no,-6.98063195297117,-10.5744173035031,-1.42967774381025,-1.39614973393512,0.0084991500849915,9.99900009999e-05,0.0283971602839716,0.0003999600039996,0,0,-5.88795814961044,-6.13493320500825,-6.52591894428616,-6.40517173525136,-6.02532470818266
PSMD12,essential,yes,no,no,no,yes,yes,yes,no,no,-7.02902859137183,-8.21390956277635,-1.54310681812347,-1.03747611539391,0.0072992700729927,0.0020997900209979,0.0304969503049695,0.0050994900509949,0.00990099009900991,0.00990099009900991,-6.51943810335045,-6.39792426754419,-6.87472886671431,-6.93100272431098,-6.64543721843043
PSMD14,essential,yes,no,no,no,yes,no,yes,no,no,-7.1927425285198,-7.27053079107433,-1.64907153285602,-0.735977769442133,0.0040995900409959,0.0097990200979902,0.0215978402159784,0.0176982301769823,0.0198019801980198,0.0198019801980198,-6.8241698854423,-7.0600300444172,-7.00861893893053,-6.44850832607356,-5.89811132610513
PSMD3,essential,yes,no,no,no,yes,no,yes,no,no,-6.69277581329064,-6.48426730599685,-1.64687248702832,-0.638628339757619,0.0073992600739926,0.0217978202179782,0.0222977702229777,0.0222977702229777,0,0.0297029702970297,-6.14640955939695,-5.98393800509087,-6.56034955562917,-6.59054033630391,-6.17294597065852
PSMD8,essential,yes,no,no,no,no,no,no,no,no,-6.56349337285951,-6.18895620638058,-1.40747040035939,-0.439562368499102,0.0133986601339866,0.0281971802819718,0.0366963303669633,0.0391960803919608,0.0198019801980198,0.0594059405940595,-6.18008235974397,-6.1868954702531,-6.83653055841661,-6.79131673838936,-6.46247176943368
PSME1,essential,yes,no,no,no,no,no,no,no,no,-4.72103739866944,-2.66894835031579,-0.442579122436026,0.123328316035785,0.0871912808719128,0.680731926807319,0.126287371262874,0.631336866313369,0.0396039603960396,0.851485148514852,-4.59478765394926,-4.66367884791733,-4.82320726823671,-4.74795101714612,-4.56391928334943
PSME3,essential,yes,no,no,no,no,no,no,no,no,-5.01798937005686,-5.0588452506531,-0.275273460020799,-0.148300270433681,0.068993100689931,0.0514948505149485,0.194280571942806,0.106789321067893,0.0891089108910891,0.148514851485149,-4.0827462320658,-4.16995733708467,-4.5303724910252,-4.48110112980401,-4.30961406862775
RPL10,essential,no,yes,no,no,no,yes,no,no,no,-7.88856828645817,-8.61905004825546,-0.827741639253354,-0.823872107203763,0.0198980101989801,0.0043995600439956,0.0611938806119388,0.0170982901709829,0.0792079207920792,0.00990099009900991,-7.77718445027115,-8.13936683955698,-8.16750534994976,-7.69198498748188,-7.27752763214581
RPL10A,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2490653791019,-9.62487179962497,-2.0918388602965,-1.04184816061555,9.99900009999e-05,0.000999900009999,0.0037996200379962,0.0113988601139886,0,0,-10.3112408950888,-9.86559396347253,-9.471153290964,-9.78926460082542,-9.41014176918157
RPL12,essential,no,yes,no,no,yes,yes,yes,no,no,-10.589368839669,-9.27613267291759,-2.09265569093706,-0.849427935660198,9.99900009999e-05,0.0027997200279972,0.0041995800419958,0.0168983101689831,0,0,-10.6254243950377,-10.2250779942504,-10.0370572446166,-9.9133172494954,-9.507451977822
RPL13A,essential,no,yes,no,no,yes,yes,no,no,no,-10.4661298843397,,-1.89728249631474,,9.99900009999e-05,,0.0082991700829917,,0,,-9.80539842687854,-9.47406113516658,-10.7011921514417,-9.8577205595478,-8.86602262997056
RPL14,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2600807663848,-13.5740891750612,-1.91412545778319,-1.50757408357591,9.99900009999e-05,9.99900009999e-05,0.0066993300669933,0.0004999500049995,0,0,-9.09585683927,-9.56915010050257,-10.3363504779961,-9.74154912778576,-8.88965423450384
