gene,label,pos_ctrl_proteasome,pos_ctrl_ribosome,pos_ctrl_DNA_replication,pos_ctrl_spliceosome,pos_ctrl_behan_2019,pos_ctrl_bagel_v1,pos_ctrl_bagel_v2,neg_ctrl_not_expressed,neg_ctrl_found_context_specific,PRODE_NIE_sgRNA,PRODE_NIE_shRNA,avg_Gene_Effect_sgRNA,avg_Gene_Effect_shRNA,MUFFINN_sum_sgRNA,MUFFINN_sum_shRNA,MUFFINN_max_sgRNA,MUFFINN_max_shRNA,RWR_sgRNA,RWR_shRNA,NIE000,NIE200,NIE400,NIE700,NIE900
PSMA1,essential,yes,no,no,no,yes,yes,yes,no,no,-9.6510992010761,-8.75622457720689,-2.23052178558204,-1.08119416307185,9.99900009999e-05,0.0006999300069993,0.0042995700429957,0.0060993900609939,0,0,-6.90450928914833,-6.98390090941144,-7.13942761434142,-6.75256599662723,-6.39179764594567
PSMA4,essential,yes,no,no,no,yes,yes,yes,no,no,-8.09728635181096,-10.0601898708828,-1.8825283960427,-1.31134672969099,0.0001999800019998,9.99900009999e-05,0.0145985401459854,0.0006999300069993,0.00990099009900991,0,-9.40887499860434,-9.60589958002229,-9.63929185322079,-9.08713413547433,-8.76979426034696
PSMA5,essential,yes,no,no,no,yes,no,yes,no,no,-9.00499179934565,-7.65336656105173,-2.0697444588377,-0.517383529394837,9.99900009999e-05,0.0141985801419858,0.0091990800919908,0.0276972302769723,0,0.0198019801980198,-6.0502063523911,-6.14891296172168,-6.61412595768291,-6.00389581563307,-5.68763369919297
PSMA7,essential,yes,no,no,no,yes,no,yes,no,no,-8.68560431206448,-7.8791615788537,-2.04569202076171,-0.760670627938406,9.99900009999e-05,0.0060993900609939,0.008999100089991,0.0146985301469853,0,0.0198019801980198,-5.92298555073957,-6.32558477294509,-6.53352506565283,-6.21961463132225,-5.83927181488435
PSMB10,essential,yes,no,no,no,no,no,no,no,no,-3.27746580501912,-2.61806628245584,-0.0482617845968432,0.135655577887282,0.153784621537846,0.661533846615338,0.862113788621138,0.615938406159384,0.287128712871287,0.881188118811881,-2.49632418169268,-2.85405452384765,-2.94094589454432,-3.08443885570535,-3.07344219267543
PSMB2,essential,yes,no,no,no,yes,yes,yes,no,no,-7.7181579397384,-9.02229200691388,-1.96989315537005,-1.2509692258712,0.0005999400059994,0.0005999400059994,0.0113988601139886,0.0018998100189981,0,0,-6.65650891372762,-6.98556522934497,-6.71997159121939,-6.50843576187201,-6.25369460779833
PSMB3,essential,yes,no,no,no,yes,yes,yes,no,no,-9.52218201812509,-7.64650547067179,-2.3423087804829,-0.987092516879519,9.99900009999e-05,0.0051994800519948,0.0021997800219978,0.0098990100989901,0,0.00990099009900991,-6.76485839562973,-7.10693435291285,-6.88063165123216,-6.38002187410009,-6.19522814929837
PSMB4,essential,yes,no,no,no,yes,no,yes,no,no,-8.31617291915051,-6.90882039417449,-2.16834102373812,-0.839619592405276,0.0001999800019998,0.0113988601139886,0.0046995300469953,0.0112988701129887,0.00990099009900991,0,-6.0862023800545,-6.37955174031538,-6.72471073956133,-6.48302500337572,-6.21165292050385
PSMB6,essential,yes,no,no,no,yes,yes,no,no,no,-6.47130396845962,-8.94950343358355,-1.49182075295213,-1.25810905617923,0.0110988901109889,0.000999900009999,0.0312968703129687,0.0040995900409959,0.0198019801980198,0.00990099009900991,-8.73147617501254,-8.98187889406157,-9.32906862123877,-9.39374421781163,-9.02361893220808
PSMB8,essential,yes,no,no,no,no,no,no,no,no,-2.61395802406698,-3.29740181473813,0.0079924694213498,-0.051890546365392,0.223177682231777,0.167583241675832,0.952104789521048,0.620737926207379,0.544554455445545,0.277227722772277,-3.329990629286,-3.24384658546797,-3.65476022288678,-3.81361023887532,-3.77384576136261
PSMC3,essential,yes,no,no,no,yes,yes,yes,no,no,-6.98169471507155,-8.87816462580461,-1.58966470538826,-1.21987615671741,0.0054994500549945,0.0004999500049995,0.0262973702629737,0.0023997600239976,0.0495049504950496,0.00990099009900991,-9.06626632545076,-9.06046842707882,-9.3497544333189,-9.01125216959654,-8.68018210165727
PSMC5,essential,yes,no,no,no,no,no,yes,no,no,-7.22392281507817,-10.487242112933,-1.35206092743266,-1.28253520110636,0.0081991800819918,9.99900009999e-05,0.0345965403459654,0.0012998700129987,0.00990099009900991,0,-12.736827199041,-12.3104348390171,-12.2959206943657,-11.4229352784769,-10.7109145744953
PSMD1,essential,yes,no,no,no,yes,yes,yes,no,no,-6.98063195297117,-10.5744173035031,-1.42967774381025,-1.39614973393512,0.0084991500849915,9.99900009999e-05,0.0283971602839716,0.0003999600039996,0,0,-6.17106265595594,-6.40719352730448,-7.12974534890921,-6.96220536207214,-6.59837816813932
PSMD12,essential,yes,no,no,no,yes,yes,yes,no,no,-7.02902859137183,-8.21390956277635,-1.54310681812347,-1.03747611539391,0.0072992700729927,0.0020997900209979,0.0304969503049695,0.0050994900509949,0.00990099009900991,0.00990099009900991,-8.81250391553122,-8.89418321458355,-9.32419696086372,-9.46234424728838,-9.17878378383755
PSMD14,essential,yes,no,no,no,yes,no,yes,no,no,-7.1927425285198,-7.27053079107433,-1.64907153285602,-0.735977769442133,0.0040995900409959,0.0097990200979902,0.0215978402159784,0.0176982301769823,0.0198019801980198,0.0198019801980198,-8.33416107126629,-8.76566888685817,-8.63395118156231,-7.58832628019462,-7.17296866241132
PSMD3,essential,yes,no,no,no,yes,no,yes,no,no,-6.69277581329064,-6.48426730599685,-1.64687248702832,-0.638628339757619,0.0073992600739926,0.0217978202179782,0.0222977702229777,0.0222977702229777,0,0.0297029702970297,-6.09551578190781,-6.02487788854887,-6.50175796308061,-6.59167727479117,-6.2487121560947
PSMD8,essential,yes,no,no,no,no,no,no,no,no,-6.56349337285951,-6.18895620638058,-1.40747040035939,-0.439562368499102,0.0133986601339866,0.0281971802819718,0.0366963303669633,0.0391960803919608,0.0198019801980198,0.0594059405940595,-5.40338364279633,-5.44417795285157,-6.07819337817404,-6.19105740666272,-5.93967295310801
PSME1,essential,yes,no,no,no,no,no,no,no,no,-4.72103739866944,-2.66894835031579,-0.442579122436026,0.123328316035785,0.0871912808719128,0.680731926807319,0.126287371262874,0.631336866313369,0.0396039603960396,0.851485148514852,-2.45098080813434,-2.45693441672852,-2.83256176437297,-2.90404206448947,-3.03728462645297
PSME3,essential,yes,no,no,no,no,no,no,no,no,-5.01798937005686,-5.0588452506531,-0.275273460020799,-0.148300270433681,0.068993100689931,0.0514948505149485,0.194280571942806,0.106789321067893,0.0891089108910891,0.148514851485149,-4.02236964719406,-4.26230046016854,-4.67763073954086,-4.84626530329885,-4.65577693252615
RPL10,essential,no,yes,no,no,no,yes,no,no,no,-7.88856828645817,-8.61905004825546,-0.827741639253354,-0.823872107203763,0.0198980101989801,0.0043995600439956,0.0611938806119388,0.0170982901709829,0.0792079207920792,0.00990099009900991,-6.15444100889098,-6.23443364852481,-6.22635524506121,-6.2958296062602,-6.00025239360386
RPL10A,essential,no,yes,no,no,yes,yes,yes,no,no,-10.2490653791019,-9.62487179962497,-2.0918388602965,-1.04184816061555,9.99900009999e-05,0.000999900009999,0.0037996200379962,0.0113988601139886,0,0,-6.30650373012054,-6.12243417871511,-6.12625397183028,-6.13920245905459,-5.75412139991873
