depmap_id	cell_line_name	lineage	culture_type	msi	used_in_sgRNA_analyses	used_in_shRNA_analyses
ACH-000956	22Rv1	prostate	Adherent	inferred-MSI	yes	yes
ACH-000070	697	blood	Adherent	inferred-MSS	yes	yes
ACH-000411	769-P	kidney	Adherent	inferred-MSS	yes	yes
ACH-000649	786-O	kidney	Adherent	inferred-MSS	yes	yes
ACH-001306	8305C	thyroid	Adherent	inferred-MSS	yes	yes
ACH-000558	A-172	central_nervous_system	Adherent	inferred-MSS	yes	yes
ACH-000201	A-204	soft_tissue	Adherent	inferred-MSS	no	yes
ACH-000788	A2058	skin	Adherent	inferred-MSS	yes	yes
ACH-000740	A-253	upper_aerodigestive	Adherent	inferred-MSS	yes	yes
ACH-000219	A-375	skin	Adherent	inferred-MSS	yes	yes
ACH-000697	A3/KAW	lymphocyte	Suspension	inferred-MSS	yes	yes
ACH-000555	A-498	kidney	Adherent	inferred-MSS	no	yes
ACH-000157	A4/Fuk	lymphocyte	Suspension	inferred-MSS	no	yes
ACH-000681	A549	lung	Adherent	inferred-MSS	yes	yes
ACH-000052	A-673	bone	Adherent	inferred-MSS	yes	yes
ACH-000528	ABC-1	lung	Adherent	inferred-MSS	yes	yes
ACH-000046	ACHN	kidney	Adherent	inferred-MSS	no	yes
ACH-000880	AGS	gastric	Adherent	inferred-MSS	yes	yes
ACH-000557	AML-193	blood	Suspension	inferred-MSS	yes	yes
ACH-000838	AMO-1	plasma_cell	Suspension	inferred-MSS	yes	yes
ACH-000940	AN3 CA	uterus	Adherent	inferred-MSI	no	yes
ACH-000222	AsPC-1	pancreas	Adherent	inferred-MSS	yes	yes
ACH-000248	AU565	breast	Adherent	inferred-MSS	yes	yes
ACH-000456	B-CPAP	thyroid	Adherent	inferred-MSS	yes	yes
ACH-000794	BICR 22	upper_aerodigestive	Adherent	inferred-MSS	yes	yes
ACH-000771	BICR 56	upper_aerodigestive	Adherent	inferred-MSS	yes	yes
ACH-000415	BICR 6	upper_aerodigestive	Adherent	inferred-MSS	yes	yes
ACH-000536	BT-20	breast	Adherent	inferred-MSS	no	yes
ACH-000927	BT-474	breast	Adherent	inferred-MSS	no	yes
ACH-000818	BT-483	breast	Adherent	inferred-MSS	no	yes
ACH-000288	BT-549	breast	Adherent	inferred-MSS	yes	yes
ACH-000535	BxPC-3	pancreas	Adherent	inferred-MSS	yes	yes
ACH-000009	C2BBe1	colorectal	Adherent	inferred-MSS	yes	yes
ACH-000580	C32	skin	Adherent	inferred-MSS	yes	yes
