GeneA	GeneB	label	PRODE_NICE	Diff_Gene_Eff	source	context_status
ARID1A	CHEK1	SL	-2.76382954715577	0.261311175624953	Isogenic Screens	LOF
ARID1A	TOP1	SL	-2.39183291135782	-0.371007543764774	Isogenic Screens	LOF
ARID1A	VHL	SL	-1.86752474767169	-0.145223471655945	Isogenic Screens	LOF
ATM	ACVR1	SL	-1.16185947707858	0.181798840778265	Isogenic Screens	LOF
ATM	APEX1	SL	-2.73024696079416	-0.236115476336124	Isogenic Screens	LOF
ATM	BIRC5	SL	-2.79539233711635	-0.0892874064514658	Isogenic Screens	LOF
ATM	CHEK1	SL	-4.22691367523448	-0.562988648219447	Isogenic Screens	LOF
ATM	HMGCR	SL	-2.66852496761092	-0.00973214109757754	Isogenic Screens	LOF
ATM	MAP3K4	SL	-1.31732894970596	0.545767473116939	Isogenic Screens	LOF
ATM	NAE1	SL	-2.15894676980555	-0.466800989367222	Isogenic Screens	LOF
ATM	SETD2	SL	-1.84560793718179	0.037662114393417	Isogenic Screens	LOF
ATM	SMO	SL	-2.58168237490353	-0.727522270926033	Isogenic Screens	LOF
ATM	TPSAB1	SL	-1.29742458469732	0.411774796989258	Isogenic Screens	LOF
ATM	VHL	SL	-1.7273096147445	-0.02915185486218	Isogenic Screens	LOF
BRCA2	ALAD	SL	-0.619699870513794	0.992339881280876	Isogenic Screens	LOF
BRCA2	APEX1	SL	-1.37991746773504	0.841888760036387	Isogenic Screens	LOF
BRCA2	BRAF	SL	-2.11307194676444	0.750687453222459	Isogenic Screens	LOF
BRCA2	BRCA1	SL	-4.15910119839628	0.20971703927699	Isogenic Screens	LOF
BRCA2	CDK9	SL	-4.15238162305104	-0.785091826259244	Isogenic Screens	LOF
BRCA2	CIT	SL	-1.74973025995324	0.437955480801467	Isogenic Screens	LOF
BRCA2	ERBB4	SL	-0.58739187290862	1.23254037324626	Isogenic Screens	LOF
BRCA2	FEN1	SL	-3.95505169404783	-0.415323443111761	Isogenic Screens	LOF
BRCA2	FLT3	SL	-1.58155683619096	-0.22411942984892	Isogenic Screens	LOF
BRCA2	MAP2K1	SL	-1.28553004876945	0.468260049148297	Isogenic Screens	LOF
BRCA2	NAE1	SL	-1.53589009813682	0.79693710933893	Isogenic Screens	LOF
BRCA2	NAGK	SL	-1.96443975427545	-0.637739168761624	Isogenic Screens	LOF
BRCA2	NRAS	SL	-1.78368671703472	-0.303589123932155	Isogenic Screens	LOF
BRCA2	P2RY6	SL	-1.47191669691048	0.225426122199917	Isogenic Screens	LOF
BRCA2	PARP1	SL	-2.8659284884912	-0.121881922417916	Isogenic Screens	LOF
BRCA2	PKLR	SL	-2.43092865142827	-0.0340149872381227	Isogenic Screens	LOF
BRCA2	SLC5A5	SL	-0.938740317592486	0.38567146846704	Isogenic Screens	LOF
BRCA2	SMARCB1	SL	-2.07417791370161	0.208847200496131	Isogenic Screens	LOF
BRCA2	SPHK2	SL	-0.918564140873747	0.356233555435643	Isogenic Screens	LOF
