GeneA	GeneB	label	PRODE_NICE	Diff_Gene_Eff	source	context_status
ABL1	RPS6KB1	SL	-0.438339224741514	0.54400217491897	Double KO screens	LOF
ACVR1	ATM	SL	-0.854174725994552	-0.778267554487155	Double KO screens	LOF
ADA	CHEK1	SL	-1.69946758022634	-0.67486939782118	Double KO screens	LOF
AGPAT1	INPP1	SL	-1.58109000372104	-1.22400720291805	Double KO screens	LOF
AGPAT1	KSR1	SL	-0.770235363771018	0.799026305563376	Double KO screens	LOF
AGPAT1	PDK2	SL	-0.451392545926234	0.16982663912724	Double KO screens	LOF
AGPAT1	TSPO	SL	-0.891410550875319	-0.371066768908094	Double KO screens	LOF
AKT1	AKT2	SL	-0.293194370566625	0.864954530021334	Double KO screens	LOF
AKT1	BRCA1	SL	-1.93397110049398	-0.745067240462662	Double KO screens	LOF
AKT1	CHEK1	SL	-1.56432340346877	0.318547910595473	Double KO screens	LOF
AKT1	EEF2	SL	-1.9895977691255	-0.361168638979383	Double KO screens	LOF
AKT1	IMPDH1	SL	-0.622916318567156	1.66718686629272	Double KO screens	LOF
AKT1	MAP2K1	SL	-0.790813436218009	-0.303632813384394	Double KO screens	LOF
AKT1	MAP2K2	SL	-0.50262240935275	0.834585100807186	Double KO screens	LOF
AKT1	MAPK3	SL	-0.937749922052222	-0.51451706704073	Double KO screens	LOF
AKT1	MCL1	SL	-1.25647753171218	-0.820050993961269	Double KO screens	LOF
AKT1	MTOR	SL	-0.816397953050108	0.0237375519519516	Double KO screens	LOF
AKT2	CDK12	SL	-1.43318487180086	0.0975986741139285	Double KO screens	LOF
AKT2	HMGCR	SL	-1.3064828160954	-0.617925700044666	Double KO screens	LOF
AKT2	MAPK1	SL	-0.899901762498274	-0.658011695408659	Double KO screens	LOF
AKT2	MAPK3	SL	-0.762154702798599	-0.574692360608195	Double KO screens	LOF
AKT2	NTRK1	SL	-0.498440042467982	1.25312833114311	Double KO screens	LOF
AKT2	PARP1	SL	-0.856721987133487	1.01516328657455	Double KO screens	LOF
AKT2	PARP2	SL	-1.6020792115208	-1.04816480426688	Double KO screens	LOF
AKT3	BCL2L1	SL	-1.79717476180867	-1.10497623203979	Double KO screens	LOF
AKT3	BRCA1	SL	-2.45025027113982	-0.211431829395188	Double KO screens	LOF
AKT3	IMPDH1	SL	-0.809454992823068	-0.635202382740925	Double KO screens	LOF
AKT3	MAP2K1	SL	-0.957703218930426	-0.418024617667288	Double KO screens	LOF
AKT3	MCL1	SL	-0.962561149380979	-0.0489257662181015	Double KO screens	LOF
AKT3	MTOR	SL	-1.10033506759228	-0.299294899188392	Double KO screens	LOF
AKT3	WEE1	SL	-1.82541012092235	0.746000355005371	Double KO screens	LOF
ALAD	CARM1	SL	-0.785930369202251	-0.172097979030477	Double KO screens	LOF
ALAD	GPI	SL	-0.772242536873689	0.0701368600189425	Double KO screens	LOF
ALAD	GRB2	SL	-0.786127392074242	0.582702660702966	Double KO screens	LOF
ALAD	HMGCR	SL	-0.655130840968341	0.521677207747194	Double KO screens	LOF
ALAD	NDUFA4	SL	-1.02840956436419	-0.00313160412974178	Double KO screens	LOF
ALAD	NDUFB1	SL	-1.24569566913845	-0.11065512979959	Double KO screens	LOF
ALAD	PRKAA1	SL	-1.0585409836256	0.276592159791321	Double KO screens	LOF
ALAD	SKP2	SL	-1.12847848903729	0.35786186768926	Double KO screens	LOF
ALDOA	PC	SL	-1.53624913019499	-0.487002145446184	Double KO screens	LOF
ALDOA	PGAM1	SL	-0.7869128573588	0.473005456611929	Double KO screens	LOF
ALDOA	PGD	SL	-1.02201727160329	-0.471048440620857	Double KO screens	LOF
ALDOA	PKM	SL	-0.692306963086242	0.686043877892761	Double KO screens	LOF
ALDOA	TKT	SL	-0.841812070967331	0.657855165463588	Double KO screens	LOF
ALDOC	RPIA	SL	-1.13676874785499	1.08042050839888	Double KO screens	LOF
ALKBH4	ATR	SL	-0.741075496637958	0.137082984578935	Double KO screens	LOF
APC	CDK9	SL	-0.78106631118741	-0.287469498401105	Double KO screens	LOF
APC	SMARCB1	SL	-0.646803997090122	-0.397603791454965	Double KO screens	LOF
APC	VHL	SL	-0.652916818992789	0.755237554054625	Double KO screens	LOF
APEX1	ATM	SL	-1.19500979734738	-0.0475817977922167	Double KO screens	LOF
APEX1	BRCA2	SL	-1.42798280976828	-0.703571651580818	Double KO screens	LOF
APEX1	PARP1	SL	-0.831305671182317	-0.368227060700168	Double KO screens	LOF
APEX1	XPO1	SL	-1.55275083697514	-0.342530175328909	Double KO screens	LOF
ARFGEF1	ARFGEF2	SL	-0.631239207638911	-0.280971788702318	Double KO screens	LOF
ARID1A	ARID1B	SL	-1.55489107990371	-0.942773505392107	Double KO screens	LOF
ARID1A	CHEK1	SL	-1.23136697765201	0.261311175624953	Double KO screens	LOF
