GeneA	GeneB	label	PRODE_NICE	Diff_Gene_Eff	source	context_status
9p21	ANAPC4	SL	-0.811915383072289	0.311859117826625	Isogenic Screens	LOF
9p21	CRCP	SL	-1.15605558204931	-0.387105635262695	Isogenic Screens	LOF
9p21	MRPS21	SL	-0.559535019215196	1.22120746912179	Isogenic Screens	LOF
9p21	MYC	SL	-1.48628700279212	-0.544330633089418	Isogenic Screens	LOF
9p21	POLR3K	SL	-1.34444303411137	-0.570004058791167	Isogenic Screens	LOF
9p21	TCP1	SL	-1.43469264356055	0.476805706899578	Isogenic Screens	LOF
ARID1A	BUB1B	SL	-0.830689521763586	0.214982801240862	Isogenic Screens	LOF
ARID1A	BUB3	SL	-0.973298627615113	-0.473485087124415	Isogenic Screens	LOF
ARID1A	CDK1	SL	-1.55478581342375	-0.314815870947052	Isogenic Screens	LOF
ARID1A	DDX19A	SL	-0.880513050560275	0.19764743609801	Isogenic Screens	LOF
ARID1A	EIF3I	SL	-1.3757300299373	0.279299783222435	Isogenic Screens	LOF
ARID1A	ELL	SL	-0.841104298850161	0.351030152424271	Isogenic Screens	LOF
ARID1A	NAA10	SL	-0.841385021733753	0.425199088420327	Isogenic Screens	LOF
ARID1A	PCNA	SL	-0.981047989004315	0.187319254308508	Isogenic Screens	LOF
ARID1A	POLR3H	SL	-0.419443798121022	0.483768958224115	Isogenic Screens	LOF
ARID1A	SRP19	SL	-1.46022583212448	0.50284758068437	Isogenic Screens	LOF
BAP1	HMGCR	SL	-1.29449504417035	0.461298801463844	Isogenic Screens	LOF
BAP1	HMGCS1	SL	-0.837893706807907	-1.01471876229279	Isogenic Screens	LOF
BAP1	LIAS	SL	-0.707855027055567	0.289206202539455	Isogenic Screens	LOF
BAP1	MRPL34	SL	-0.218112717691325	0.500705659065121	Isogenic Screens	LOF
BAP1	NUP133	SL	-0.816957937463399	0.217550076166424	Isogenic Screens	LOF
BAP1	RPL10A	SL	-1.85742100109321	-0.860969725583051	Isogenic Screens	LOF
BAP1	RPL12	SL	-1.50630617344358	-0.432981380061724	Isogenic Screens	LOF
BAP1	RPP21	SL	-2.00501297814389	-0.402810651732722	Isogenic Screens	LOF
BAP1	SS18L2	SL	-1.33630874099491	1.96547075867359	Isogenic Screens	LOF
BCL2L1	ACLY	SL	-0.56302698217224	0.302604181445232	Isogenic Screens	LOF
BCL2L1	BCL2	SL	-0.475117946138453	0.317935630621717	Isogenic Screens	LOF
BCL2L1	BCL2L2	SL	-0.983415594291208	-0.253034191625611	Isogenic Screens	LOF
BCL2L1	MCL1	SL	-1.65851007216708	-1.38428914801607	Isogenic Screens	LOF
BCL2L1	OPA1	SL	-0.800739899994371	0.202850596398141	Isogenic Screens	LOF
BCL2L1	RAD9A	SL	-1.21891429813517	-0.424115480025013	Isogenic Screens	LOF
BCL2L1	RBBP5	SL	-1.03115929051107	-0.522633970607005	Isogenic Screens	LOF
BCL2L1	UBE2J2	SL	-1.01654389097501	-0.15397920426552	Isogenic Screens	LOF
BCL2L1	WSB2	SL	-0.945355425441596	-0.561326148433067	Isogenic Screens	LOF
CCNE1	CTC1	SL	-0.797468197921201	0.00240024804984408	Isogenic Screens	LOF
CCNE1	DPAGT1	SL	-0.456343472491421	0.572800017435885	Isogenic Screens	LOF
CCNE1	FTSJ3	SL	-1.39678852963879	-0.0962496107354227	Isogenic Screens	LOF
CCNE1	MCM5	SL	-1.85424836185296	-0.894723251398073	Isogenic Screens	LOF
CCNE1	NOP56	SL	-1.51407521254175	0.330100705767941	Isogenic Screens	LOF
CCNE1	NUDCD3	SL	-0.469126690489303	-0.0322282725677224	Isogenic Screens	LOF
CCNE1	TEN1	SL	-1.13378211041098	-0.326070072737382	Isogenic Screens	LOF
CCNE1	THOC3	SL	-1.39154794334055	-0.221322962306091	Isogenic Screens	LOF
CCNE1	UBE2C	SL	-1.50102160620937	-0.214260983004433	Isogenic Screens	LOF
CDH1	DDX55	SL	-2.52713146258915	-0.725264446569609	Isogenic Screens	LOF
CDH1	HSPA5	SL	-0.717760424021832	1.05604710945223	Isogenic Screens	LOF
CDH1	PNN	SL	-0.541100257971478	1.1419318552564	Isogenic Screens	LOF
CDH1	POLR2L	SL	-1.31033300708217	0.298798309925882	Isogenic Screens	LOF
