GeneA,GeneB,label,PRODE_NICE,Diff_Gene_Eff,source,context_status,show_ppis
ABL1,RPS6KB1,SL,-1.00931336456438,0.54400217491897,Double KO Screens,LOF,TRUE
ACVR1,ATM,SL,-1.96680999088733,-0.778267554487155,Double KO Screens,LOF,FALSE
ADA,CHEK1,SL,-3.91316871625582,-0.67486939782118,Double KO Screens,LOF,FALSE
AGPAT1,INPP1,SL,-3.64059427324996,-1.22400720291805,Double KO Screens,LOF,FALSE
AGPAT1,KSR1,SL,-1.77353246671599,0.799026305563376,Double KO Screens,LOF,FALSE
AGPAT1,PDK2,SL,-1.03936974733838,0.16982663912724,Double KO Screens,LOF,FALSE
AGPAT1,TSPO,SL,-2.05254864618312,-0.371066768908094,Double KO Screens,LOF,FALSE
AKT1,AKT2,SL,-0.675104987016482,0.864954530021334,Double KO Screens,LOF,TRUE
AKT1,BRCA1,SL,-4.45313302627873,-0.745067240462662,Double KO Screens,LOF,TRUE
AKT1,CHEK1,SL,-3.60198774944889,0.318547910595473,Double KO Screens,LOF,TRUE
AKT1,EEF2,SL,-4.58121816424258,-0.361168638979383,Double KO Screens,LOF,TRUE
AKT1,IMPDH1,SL,-1.43431782931546,1.66718686629272,Double KO Screens,LOF,FALSE
AKT1,MAP2K1,SL,-1.82091522957499,-0.303632813384394,Double KO Screens,LOF,TRUE
AKT1,MAP2K2,SL,-1.15733086718039,0.834585100807186,Double KO Screens,LOF,TRUE
AKT1,MAPK3,SL,-2.15924899147377,-0.51451706704073,Double KO Screens,LOF,TRUE
AKT1,MCL1,SL,-2.89314643420241,-0.820050993961269,Double KO Screens,LOF,TRUE
AKT1,MTOR,SL,-1.87982575664403,0.0237375519519516,Double KO Screens,LOF,TRUE
AKT2,CDK12,SL,-3.30003012131324,0.0975986741139285,Double KO Screens,LOF,FALSE
AKT2,HMGCR,SL,-3.00828785659414,-0.617925700044666,Double KO Screens,LOF,FALSE
AKT2,MAPK1,SL,-2.0721003834876,-0.658011695408659,Double KO Screens,LOF,TRUE
AKT2,MAPK3,SL,-1.75492605721936,-0.574692360608195,Double KO Screens,LOF,TRUE
AKT2,NTRK1,SL,-1.1477006115381,1.25312833114311,Double KO Screens,LOF,FALSE
AKT2,PARP1,SL,-1.97267527641381,1.01516328657455,Double KO Screens,LOF,TRUE
AKT2,PARP2,SL,-3.68892371024345,-1.04816480426688,Double KO Screens,LOF,FALSE
AKT3,BCL2L1,SL,-4.13814781604576,-1.10497623203979,Double KO Screens,LOF,TRUE
