gene	Estimate	Std..Error	t.value	Pr...t..	ctrl_mean	case_mean	ctrl_sd	case_sd	ctrl_n	case_n	rra_score	rra_p	rra_fdr	u_gene	u_neig	NICE_score
A1BG	0.078268872450223	0.0389721686195951	2.00832735827971	0.0559895479844415	-0.0127981290617951	0.0382174435904976	0.113720433958251	0.0742132295176286	22	8	0.000893044024092502	0.0173505189403842	0.159580094803619	0.943070461969202	0.108726084927671	-2.27753781997783
A1CF	0.0075872073509929	0.0306594661327295	0.247467040624476	0.806651625102771	-0.0930906285658704	-0.0767485142985797	0.0664481732049859	0.0853379139777538	22	8	0.0037972776765345	0.0590527289150642	0.325656196770413	0.547083527764816	0.18133457769482	-2.31056524516708
A3GALT2	0.0723888724261022	0.038394939116406	1.88537536696264	0.0715420829459637	-0.0924215614425301	-0.0202378834762095	0.0765755596607341	0.129421870809667	22	8	0.559656679084045	0.968223624741203	0.999711429236435	0.929631357909473	0.950909939337378	-0.123303082695904
A4GALT	-0.00315597670874275	0.0384344973065789	-0.082113125704978	0.935237746298285	-0.0385199441086099	-0.0363738682171474	0.0755032253943229	0.11029679824668	22	8	0.261684738250999	0.83576433109875	0.999711429236435	0.439384041063929	0.824545030331311	-1.01530496268139
A4GNT	0.0859437583440518	0.0342486886842594	2.50940288944701	0.0192467599351922	-0.021550295866823	0.052264179493341	0.0821845491663892	0.0724007060160201	22	8	0.382030050073764	0.919379227966906	0.999711429236435	0.973961735884274	0.897526831544564	-0.134495524846254
AAAS	0.0883594879746218	0.0509928491650499	1.73278193749532	0.0959675489200769	-0.274270708029405	-0.209731451759039	0.118414805861453	0.109075605737893	22	8	0.00547938347568158	0.102647403679346	0.441005184612749	0.913019132057863	0.23275781614559	-1.54875522511794
AACS	-0.051635011913997	0.0234691587768658	-2.20012197305065	0.0376671260647894	-0.0262699318900148	-0.0822358150161785	0.047237062529994	0.0590540036028389	22	8	0.0385396354692904	0.325842530648297	0.749370776198037	0.0425571628558096	0.434717685487634	-3.98996555585668
AADACL2	0.0038265039741772	0.0380775767398228	0.100492318624239	0.920788262873119	-0.00164764863081072	0.0164206913885904	0.0915045194066566	0.11304337138341	22	8	0.648772452249727	0.966566677621236	0.999711429236435	0.500699953336444	0.949510032664489	-0.743557435367846
AADACL3	0.0361856476674193	0.0346562519935088	1.04413044071231	0.306828527278721	-0.0234612621476678	-0.00145545033567375	0.0713246241560283	0.0870454629276042	22	8	0.691172627900504	0.976557504136946	0.999711429236435	0.785627624825012	0.959402706486234	-0.282716727475683
AADAT	-0.0509792628008177	0.0349205378585952	-1.45986476517772	0.157294225398046	-0.0227351891618601	-0.0596271360228137	0.0627820511554351	0.116294952378501	22	8	0.121772165186324	0.63872057938788	0.953870842171297	0.116752216518899	0.669528698086794	-2.54888264725622
AAGAB	-0.0197414170074521	0.0545791482766634	-0.361702548148649	0.720739396984253	-0.00648348652025899	-0.00619650136966403	0.095840631549624	0.175966296077417	22	8	0.00313051178358463	0.0271490319327542	0.210798461709755	0.358562762482501	0.12879141390574	-3.0752126943356
AAK1	-0.0425413694763796	0.0395066143387447	-1.0768163809638	0.292267812462729	-0.124978888120534	-0.173331609644919	0.0690738231311574	0.130998625799332	22	8	0.556196121982368	0.991613404977937	0.999711429236435	0.182361175921605	0.979934671021932	-1.72203544706701
