oxphos_gene,top100_PRODE
AK4,no
ABCD1,no
RHOA,no
ATP7A,no
CCNB1,no
CDK1,no
COX4I1,no
COX5B,yes
COX6A1,yes
COX6A2,no
COX6B1,yes
COX6C,yes
COX7A2,yes
COX7B,yes
COX7C,yes
COX8A,yes
COX15,no
CYC1,no
DLD,no
FXN,no
MSH2,no
NDUFA1,yes
NDUFA2,yes
NDUFA3,no
NDUFA4,no
NDUFA5,no
NDUFA6,yes
NDUFA7,no
NDUFA8,yes
NDUFA9,yes
NDUFA10,no
NDUFAB1,no
NDUFB1,yes
NDUFB2,yes
NDUFB3,yes
NDUFB4,yes
NDUFB5,no
NDUFB6,yes
NDUFB7,no
NDUFB8,no
NDUFB9,no
NDUFB10,yes
NDUFC1,yes
NDUFC2,yes
NDUFS1,yes
NDUFS2,no
NDUFS3,no
NDUFV1,no
NDUFS4,no
NDUFS5,yes
NDUFS8,no
NDUFV2,no
NDUFV3,no
SDHA,no
SDHB,no
SDHC,no
SDHD,no
SHMT2,no
UQCRB,no
UQCRC1,no
UQCRC2,no
UQCRFS1,yes
VCP,no
COX7A2L,yes
COX5A,no
PPIF,no
UQCR11,yes
PARK7,no
ISCU,no
GHITM,no
UQCRQ,no
DNAJC15,no
STOML2,no
NDUFA13,yes
MLXIPL,no
NDUFAF1,no
CHCHD2,no
CYCS,no
NDUFB11,yes
SDHAF2,no
NDUFA12,no
COQ9,no
PINK1,no
TEFM,no
SLC25A33,no
DNAJC30,no
UQCC2,no
COX4I2,no
SLC25A51,no
NDUFA11,yes
PDE12,no
C2orf69,no
COX8C,no
NDUFS7,no
COA6,no
CHCHD10,no
UQCC3,no
